a,bL,bA,gammaI,gammaA,sigma,S0,xi_c
97,105,5,31,64,133,101,120
18,41,171,193,18,187,138,35
196,99,24,105,69,115,200,49
161,106,70,118,20,43,2,8
60,98,110,85,36,118,121,57
167,16,172,65,130,4,3,53
57,29,161,99,78,75,143,69
11,125,147,32,14,143,191,70
102,93,68,142,27,60,10,30
169,24,120,9,66,29,105,26
21,28,17,58,147,101,70,191
186,131,119,18,138,170,131,117
198,95,155,120,28,141,168,1
95,198,93,150,197,64,124,181
188,68,97,135,172,16,110,101
199,26,60,190,44,159,127,10
176,107,112,192,37,48,104,7
141,39,189,88,191,83,167,135
175,10,11,160,34,65,33,13
99,1,100,124,177,62,23,151
117,165,113,90,193,93,7,174
164,181,193,76,155,58,132,103
101,116,78,121,70,198,188,93
103,84,152,119,89,175,28,77
121,182,20,183,157,71,75,167
58,154,23,185,54,32,11,86
122,134,123,173,24,154,73,18
42,27,91,47,22,193,99,66
53,70,132,195,21,127,147,28
32,82,183,166,110,131,130,121
85,108,55,128,13,123,30,41
72,85,89,126,4,169,91,29
152,72,125,63,74,194,156,51
178,118,116,27,86,14,17,45
180,89,170,45,151,49,126,87
123,136,101,156,47,5,79,27
182,186,10,19,95,132,166,111
55,166,150,54,109,95,93,140
140,73,2,179,32,126,6,38
148,100,35,116,154,80,117,145
63,11,186,199,159,163,199,142
168,155,47,37,156,104,116,157
177,151,65,79,135,183,111,133
77,90,30,137,185,94,169,186
127,175,82,25,57,59,123,60
15,12,74,22,143,182,146,193
195,61,56,4,7,140,1,6
192,67,84,3,6,134,183,2
193,76,28,87,50,161,27,37
200,31,95,14,83,195,187,50
69,145,144,2,5,73,179,31
80,179,167,75,52,121,13,61
47,193,118,62,11,160,113,62
19,30,139,167,145,55,107,150
83,6,46,11,150,103,48,171
96,80,159,41,124,165,58,130
2,36,62,110,163,31,65,179
35,55,168,6,29,189,153,65
7,2,117,125,166,180,34,189
170,56,153,111,180,1,118,100
89,102,114,50,85,152,95,104
70,60,135,77,45,82,69,48
109,34,169,175,68,7,54,20
67,71,109,174,123,150,61,139
106,163,103,104,17,188,135,36
119,111,106,151,104,156,182,98
110,197,51,164,72,11,177,71
81,200,39,157,103,87,45,146
9,183,9,191,60,146,151,164
107,160,178,100,134,61,148,110
8,178,53,184,133,9,149,172
134,81,63,8,165,13,87,149
113,66,96,24,162,138,96,170
165,47,32,13,149,72,139,138
139,190,29,42,101,39,18,112
131,135,13,194,3,52,64,14
130,191,127,163,152,117,194,141
10,86,111,141,112,92,158,154
156,142,61,46,182,20,150,158
61,132,151,91,158,28,136,153
142,46,181,181,82,125,174,33
92,174,174,108,2,179,122,16
181,159,138,96,189,23,172,129
14,156,107,10,142,26,196,177
6,143,104,53,190,167,77,199
183,13,143,109,87,181,140,40
162,169,41,55,137,38,60,125
197,19,76,66,25,139,195,5
98,20,37,177,84,114,129,82
143,87,52,197,102,88,26,76
185,8,87,26,126,148,39,92
190,109,81,33,90,137,154,64
128,126,26,113,141,151,38,165
151,75,192,56,93,168,14,55
56,65,124,146,153,42,50,148
25,51,43,143,175,107,71,192
54,101,31,89,194,174,144,197
1,157,98,115,43,186,171,131
158,123,142,122,79,34,97,39
108,128,58,103,61,53,59,63
157,140,199,57,187,90,103,143
50,58,79,48,55,81,145,85
30,21,196,44,94,155,198,113
39,173,185,67,99,44,42,114
88,7,75,114,77,2,22,52
112,43,16,80,127,50,155,132
28,184,166,29,178,24,41,180
52,78,115,7,46,135,173,84
12,22,34,51,164,158,25,195
71,189,140,138,174,36,16,169
171,167,160,40,121,67,108,80
75,130,83,168,146,18,55,144
133,161,18,129,88,166,52,116
29,195,94,127,170,57,78,188
129,44,73,130,106,6,190,68
154,45,4,93,19,46,162,17
189,139,1,70,33,89,192,32
146,77,156,52,115,56,100,72
22,196,3,182,80,54,106,159
120,153,179,200,117,116,128,83
194,147,14,169,148,10,83,106
5,48,86,36,179,199,160,198
147,133,194,187,118,21,115,54
93,149,175,16,183,185,89,183
62,38,67,30,51,173,133,97
65,91,164,117,59,102,12,56
4,129,19,165,31,41,176,99
155,115,197,145,139,153,161,91
82,127,200,23,41,100,92,43
172,148,15,147,48,129,137,46
104,57,64,83,111,105,125,119
45,33,8,82,62,8,81,90
163,59,7,64,10,51,46,12
16,9,12,92,49,27,163,94
24,112,90,159,92,66,181,127
90,192,188,123,161,149,90,161
27,168,38,133,16,162,80,96
66,188,72,155,53,113,24,89
20,96,176,101,114,22,94,118
51,53,129,161,196,40,15,173
46,150,145,132,63,70,66,75
118,54,128,178,26,110,120,11
36,158,148,94,73,98,180,105
17,141,195,136,119,17,185,122
166,122,48,74,122,184,165,126
48,138,77,34,116,157,98,176
173,62,40,72,1,86,37,4
159,119,80,20,15,200,4,19
34,120,36,81,184,109,36,196
191,187,50,97,8,3,5,3
132,18,191,106,176,35,67,109
138,92,54,49,160,74,112,155
43,104,163,17,140,190,62,178
3,14,190,148,71,84,74,74
33,110,69,188,168,196,49,194
136,25,71,112,76,47,29,47
174,83,57,1,40,30,32,21
111,194,126,38,167,37,20,160
145,152,6,78,128,25,84,128
86,113,146,196,23,197,186,24
116,63,92,134,131,96,102,115
84,97,45,139,65,12,197,67
184,50,21,189,136,78,63,95
87,17,182,95,35,176,184,22
153,162,137,172,97,85,170,58
150,88,131,140,199,142,40,162
144,172,25,71,132,172,189,163
73,199,136,28,81,76,31,107
44,3,102,39,113,79,53,136
41,170,33,176,67,128,86,137
64,4,180,12,192,45,164,168
79,35,187,154,107,112,152,78
74,40,141,162,30,136,19,25
124,180,49,61,12,147,56,42
179,177,42,59,105,122,88,102
187,32,44,5,125,15,8,81
68,146,165,73,188,164,178,187
105,137,27,180,96,68,141,108
76,185,130,158,200,111,85,185
